issuingCompany,tradingName,cnpj,api_prefix
BGCE,BONFIM GERAC,34714313000123,BGCE
BBRM,BORBTRANSENE,31109417000110,BBRM
BORG,BORGATO,57213191000197,BORG
BVPL,VIPAL,87870952000144,BVPL
BOT3,BOTAFOGO,14413435000172,BOT3
BPGA,BPG AV MOFAR,30435310000108,BPGA
BPEE,BPG AV RBC,42385477000182,BPEE
BPBB,BPG BURI,43944911000180,BPBB
BPGL,BPG CABRAL,43954168000149,BPGL
BPGC,BPG CAJAMAR,39502022000195,BPGC
BPGG,BPG GLORIA,46064087000161,BPGG
BPEI,BPG GUARULHO,41757301000141,BPEI
BPGJ,BPG JCEI,44168810000127,BPGJ
BPGE,BPG MANSOES,44649729000169,BPGE
BPGQ,BPG PIEI,44649057000191,BPGQ
BPGR,BPG PIQUERI,44551809000187,BPGR
BREB,BPG REBOUCAS,44021461000116,BREB
BPGV,BPG VPEI,45817117000109,BPGV
BBHE,BPGM BH1,50364755000143,BBHE
BCEP,BPGM CAMP,50365437000105,BCEP
BPGP,JDBOTANICO,54414226000168,BPGP
REBP,BPGM REBOUCA,54800596000133,REBP
SP1E,BPGM SP1 EMP,44378901000197,SP1E
BVNE,BPGM VL NOVA,57304532000130,BVNE
BRML,BR MALLS PAR,6977745000191,BRML
MRNS,BR MARINAS,14841323000112,MRNS
BRPB,BR PARTBAHIA,17977303000161,BRPB
BRPT,BRPARTNERSBI,13220493000117,BRPT
BRPI,BR PART II,11115212000130,BRPI
BOPF,BR PART OPF,31799830000154,BOPF
BRRJ,BR PART RJ,20620843000106,BRRJ
KLBB,BRACELL BAHI,69037133000139,KLBB
BSCL,BRACELL SP,53943098000187,BSCL
BDLS,BRADESCO LSG,47509120000182,BDLS
BRAP,BRADESPAR,3847461000192,BRAP
BRDO,BRADOSA,3307926000112,BRDO
SAUD,BRADSAUDE,58119199000151,SAUD
BRFA,BRAINFARMA,5161069000110,BRFA
MXCS,BRAMEX COMER,7173309000122,MXCS
BSEN,BRASAL ENERG,29896310000118,BSEN
BSPC,BRASAL,36756997000151,BSPC
BNIT,BRASANITAS,60902939000173,BNIT
BBNK,BRASBUNKER,4931019000102,BBNK
BRSH,BRASHOPSA,3262205000133,BRSH
BBFU,BRASILBIOFUE,9478309000166,BBFU
BRFE,BIOFUELS,43714857000186,BRFE
BPCH,BRASIL PCH,7314233000108,BPCH
BPLR,BRASILPLURAL,45246410000155,BPLR
TEPA,BR TECNO,35764708000101,TEPA
AGRO,BRASILAGRO,7628528000159,AGRO
BPSE,BRASILPREV S,27665207000131,BPSE
BRKM,BRASKEM,42150391000170,BRKM
MNTI,BRASOILPETRO,8845534000120,MNTI
BLPE,BRASOL,35539616000110,BLPE
BRAV,BRAVA,12091809000155,BRAV
BVGE,BRAVO,1759112000193,BVGE
BRVB,BRAVOBEEFSA,9160157000159,BRVB
BTBP,BRAZIL 3,10515403000127,BTBP
BZGE,B GREEN OPPO,63216005000176,BZGE
BZGY,BRAZIL GREEN,58478624000107,BZGY
GROP,POTASSIO BR,0,GROP
BTCL,BRAZIL TOWER,14292540000109,BTCL
